Generation,Strain,0copy_mCherry,1copy_mCherry,Multicopy_mCherry,0copy_mCitrine,1copy_mCitrine,Multicopy_mCitrine 
3,DGY1_1,99.97,0.03,0,100,0,0
3,DGY1_2,99.91,0.09,0,99.96,0,0
3,DGY1_3,99.78,0.09,0,99.91,0.01,0
3,DGY500_1,99.37,0.12,0,0.04,85.8,13.32
3,DGY500_2,99.03,0.21,0,0.06,80.63,17.94
3,DGY500_3,98.98,0.12,0,0,80.89,17.89
3,DGY1315_1,98.41,0.24,0,0.01,1.76,97.76
3,DGY1315_2,99.13,0.17,0,0.03,0.29,99.57
3,DGY1315_3,98.84,0.33,0,0.04,0.03,99.91
3,DGY1657_1,98.44,0.2,0,0.05,89.92,9.37
3,DGY1657_2,99.13,0.29,0,0.03,92.64,6.8
3,DGY1657_3,98.9,0.27,0,0.03,88.08,11.16
3,DGY2331_1,0.03,1.04,97.12,99.94,0,0.03
3,DGY2331_2,0,0.84,97.45,99.93,0.01,0
3,DGY2331_3,0,0.66,97.76,100,0,0
3,DGY2349_1,0.01,90.07,7.45,99.97,0.03,0
3,DGY2349_2,0,94.87,3.63,99.95,0,0
3,DGY2349_3,0,94.6,3.71,99.96,0,0
3,DGY2543_1,0.09,91.43,5.9,0.06,92.56,6.74
3,DGY2543_2,0,89.95,7.17,0.03,90.31,8.91
3,DGY2543_3,0.03,88.49,8.49,0.13,84.49,14.14
3,DGY2546_1,0.03,83.99,11.77,0.07,76.81,21.3
3,DGY2546_2,0.01,82.62,12.8,0.08,76.95,21.03
3,DGY2546_3,0.01,85.99,9.65,0.06,83.37,14.91
3,DGY1883_1,99.22,0.25,0,0.03,0.22,99.75
3,DGY1883_2,99.2,0.25,0.03,0.03,0.08,99.89
3,DGY1883_3,99.01,0.37,0,0.05,0.11,99.79
3,DGY1883_4,99.11,0.25,0,0,0.03,99.97
3,DGY1886_1,98.48,0.71,0.06,0.09,0.24,99.58
3,DGY1886_2,99.03,0.5,0,0.06,0.12,99.76
3,DGY1886_3,98.38,0.64,0.03,0.03,0.13,99.84
3,DGY1886_4,98.66,0.7,0,0.13,0.25,99.55
3,DGY1917_1,99,0.26,0,0.02,0.06,99.9
3,DGY1917_2,98.98,0.37,0,0.01,0.02,99.96
3,DGY1917_3,98.92,0.52,0.01,0.09,0.06,99.81
3,DGY1917_4,98.84,0.5,0,0.08,0.04,99.88
3,DGY1920_1,98.83,0.23,0,0.05,4.67,94.53
3,DGY1920_2,98.6,0.25,0,0.02,1.07,98.66
3,DGY1920_3,98.92,0.18,0.02,0,1.76,97.91
3,DGY1920_4,98.99,0.42,0,0.04,1.39,98.25
3,DGY1976_1,99,0.34,0.02,0.06,0.11,99.83
3,DGY1976_2,99.01,0.3,0,0.02,0.06,99.92
3,DGY1976_3,99.14,0.36,0,0.04,0.34,99.63
3,DGY1976_4,99.16,0.35,0.01,0.05,0.09,99.85
3,DGY1988_1,99.41,0.33,0,0.07,0.11,99.79
3,DGY1988_2,99.17,0.36,0,0.09,0.1,99.81
3,DGY1988_3,99.43,0.3,0,0.06,0.04,99.88
3,DGY1988_4,99.29,0.4,0,0.09,0.15,99.74
3,DGY2702_1,0.03,0.32,99.65,0.05,68.51,28.7
3,DGY2702_2,0,0.14,99.85,0.03,69.48,28.44
3,DGY2702_3,0,0.28,99.69,0.11,57.97,39.25
